ICAO,PHASE,RANGE,DATE,MVTS_VALID,MVTS_NA,TOT_ASMA,TOT_REF,TOT_ADD_TIME,TOT_ASMA_SUPPLIED,TOT_UNIMP_SUPPLIED,TOT_ADD_SUPPLIED
SBBR,ARR,C100,2023-03-30,184,43,4546.95,4041.8333333333335,505.1166666666667,4546.95,4021.4233333333336,525.5266666666666
SBBR,ARR,C40,2023-03-30,191,36,2812.1833333333334,2477.5933333333332,334.59,2812.1833333333334,2422.0333333333333,390.15
SBBR,ARR,C100,2023-03-31,181,35,4495.45,3951.4666666666667,543.9833333333333,4495.45,3942.0733333333333,553.3766666666667
SBBR,ARR,C40,2023-03-31,190,26,2791.8333333333335,2444.54,347.2933333333333,2791.8333333333335,2397.8166666666666,394.01666666666665
SBBR,ARR,C100,2023-04-01,149,17,3563.1666666666665,3250.9166666666665,312.25,3563.1666666666665,3243.84,319.32666666666665
SBBR,ARR,C40,2023-04-01,148,18,2100.016666666667,1905.4566666666667,194.56,2100.016666666667,1871.5966666666666,228.42000000000002
SBBR,ARR,C100,2023-04-02,144,11,3651.383333333333,3109.7133333333336,541.67,3651.383333333333,3137.01,514.3733333333333
SBBR,ARR,C40,2023-04-02,143,12,2200.733333333333,1830.6433333333334,370.09,2200.733333333333,1821.5666666666666,379.1666666666667
SBBR,ARR,C100,2023-04-03,179,26,4310.833333333333,3865.6833333333334,445.15,4310.833333333333,3894.7333333333336,416.1
SBBR,ARR,C40,2023-04-03,180,25,2501.4666666666667,2305,196.46666666666664,2501.4666666666667,2282.38,219.08666666666667
SBBR,ARR,C100,2023-04-04,196,37,4819.616666666667,4273.88,545.7366666666667,4819.616666666667,4268.716666666667,550.9
SBBR,ARR,C40,2023-04-04,207,26,2985.15,2664.0466666666666,321.1033333333333,2985.15,2613.9166666666665,371.23333333333335
SBBR,ARR,C100,2023-04-05,181,54,4467.616666666667,3899.59,568.0266666666666,4467.616666666667,3885.61,582.0066666666667
SBBR,ARR,C40,2023-04-05,188,47,2676.35,2376.1233333333334,300.22666666666663,2676.35,2327.79,325.24333333333334
SBBR,ARR,C100,2023-04-06,190,35,4814.9,4155.383333333333,659.5166666666667,4814.9,4139.34,675.56
SBBR,ARR,C40,2023-04-06,197,28,3014.45,2557.37,457.08,3014.45,2511.4666666666667,502.98333333333335
SBBR,ARR,C100,2023-04-07,108,66,2616.65,2316.3733333333334,300.27666666666664,2616.65,2319.0866666666666,297.56333333333333
SBBR,ARR,C40,2023-04-07,108,66,1548.5833333333333,1360.3266666666666,188.25666666666666,1548.5833333333333,1352.2833333333333,196.3
SBBR,ARR,C100,2023-04-08,108,23,2496.4166666666665,2308.2833333333333,188.13333333333333,2496.4166666666665,2334.5333333333333,161.88333333333333
SBBR,ARR,C40,2023-04-08,102,29,1366.6,1272.7266666666667,93.87333333333333,1366.6,1263.1266666666666,103.47333333333333
SBBR,ARR,C100,2023-04-09,146,12,3478.4,3158.01,320.39,3478.4,3178.206666666667,300.1933333333333
SBBR,ARR,C40,2023-04-09,141,17,1979.6,1799.12,180.48000000000002,1979.6,1779.47,200.13
SBBR,ARR,C100,2023-04-10,113,137,2852.65,2488.5433333333335,364.1066666666666,2852.65,2460.52,392.13
SBBR,ARR,C40,2023-04-10,119,131,1734.5833333333333,1533.4066666666668,201.17666666666668,1734.5833333333333,1496.8333333333333,237.75
SBBR,ARR,C100,2023-04-11,76,159,2054.3166666666666,1685.92,368.3966666666667,2054.3166666666666,1683.6633333333334,370.6533333333333
SBBR,ARR,C40,2023-04-11,83,152,1380.7166666666667,1117.7766666666666,262.94,1380.7166666666667,1081.0333333333333,281.15
SBBR,ARR,C100,2023-04-12,190,41,4836.083333333333,4158.166666666667,677.9166666666666,4836.083333333333,4146.496666666667,689.5866666666667
